-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e
-,-,-,-,-,r,r,r,r,r,r,r,r,r,r,r,-,-,-,-,e
-,-,-,-,-,-,b,-,-,-,-,-,-,-,b,-,-,-,-,-,e
-,-,-,-,-,-,b,-,-,-,-,-,-,-,b,-,-,-,-,-,e
-,-,-,-,-,-,b,-,-,-,-,-,-,-,b,-,-,-,-,-,e
-,-,-,-,-,-,-,b,y,y,y,y,y,b,-,-,-,-,-,-,e
-,-,-,-,-,-,-,-,b,y,y,y,b,-,-,-,-,-,-,-,e
-,-,-,-,-,-,-,-,-,b,y,b,-,-,-,-,-,-,-,-,e
-,-,-,-,-,-,-,-,-,b,y,b,-,-,-,-,-,-,-,-,e
-,-,-,-,-,-,-,-,b,-,y,-,b,-,-,-,-,-,-,-,e
-,-,-,-,-,-,-,b,-,-,y,-,-,b,-,-,-,-,-,-,e
-,-,-,-,-,-,b,y,y,y,y,y,y,y,b,-,-,-,-,-,e
-,-,-,-,-,-,b,y,y,y,y,y,y,y,b,-,-,-,-,-,e
-,-,-,-,-,-,b,y,y,y,y,y,y,y,b,-,-,-,-,-,e
-,-,-,-,-,r,r,r,r,r,r,r,r,r,r,r,-,-,-,-,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e
