-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e
-,-,-,-,-,-,-,b,b,b,b,b,b,-,-,-,-,-,-,-,e
-,-,-,-,-,-,b,-,-,-,-,-,-,b,-,-,-,-,-,-,e
-,-,-,-,-,-,b,b,b,b,b,b,b,b,-,-,-,-,-,-,e
-,-,-,-,-,-,b,b,b,b,b,b,b,b,-,-,-,-,-,-,e
-,-,-,-,-,-,b,b,b,b,b,b,b,b,-,-,-,-,-,-,e
-,-,-,-,-,b,r,b,b,b,b,b,b,r,b,-,-,-,-,-,e
-,-,-,-,b,b,b,r,r,r,r,r,r,b,b,b,-,-,-,-,e
-,-,-,-,-,b,b,b,b,b,b,b,b,b,b,-,-,-,-,-,e
-,-,-,-,-,-,y,b,b,b,b,b,b,-,-,-,-,-,-,-,e
-,-,-,-,-,y,-,y,-,-,-,-,-,-,-,-,-,-,-,-,e
-,-,-,-,y,-,y,-,-,-,-,-,-,-,-,c,c,c,c,-,e
-,-,-,y,-,-,-,b,b,-,-,b,b,-,-,c,c,c,c,-,e
-,-,-,y,-,-,b,b,b,b,b,b,b,b,-,-,c,c,-,-,e
-,-,-,y,-,-,b,b,b,-,-,b,b,b,-,c,c,c,c,-,e
-,-,-,-,-,b,-,-,-,-,-,-,-,-,b,-,-,-,-,-,e
-,-,-,-,-,-,r,r,r,r,r,r,r,r,-,-,-,-,-,-,e
-,-,-,-,-,-,r,r,r,r,r,r,r,r,-,-,-,-,-,-,e
-,-,-,-,-,-,-,r,r,-,-,r,r,-,-,-,-,-,-,-,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e
