-,-,-,-,-,-,-,-,-,-,-,-,y,-,-,y,-,-,y,-,e
-,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,y,-,-,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,e
-,-,-,-,-,-,-,-,-,-,-,y,y,-,y,y,y,-,y,y,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,e
-,-,-,-,g,-,-,-,-,-,-,-,-,y,-,-,-,y,-,-,e
-,-,-,g,g,g,-,-,-,g,-,-,y,-,-,y,-,-,y,-,e
-,-,g,g,g,g,g,-,g,g,g,-,-,g,-,y,-,-,-,-,e
-,-,-,g,g,g,-,-,-,g,-,-,g,g,g,-,-,-,-,-,e
-,-,g,g,g,g,g,-,g,g,g,-,g,g,g,-,-,-,-,-,e
-,-,-,-,r,-,-,-,-,r,-,-,-,g,-,-,-,-,-,-,e
y,y,-,-,r,-,y,y,-,r,-,y,-,r,-,y,y,y,-,-,e
y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,e
g,g,g,g,g,g,g,g,g,g,g,g,g,b,b,b,m,b,b,b,e
g,g,g,g,g,g,g,g,b,b,b,b,b,b,b,m,-,m,b,b,e
g,g,b,b,b,b,b,b,b,b,b,b,b,b,m,-,-,-,m,b,e
b,b,b,b,b,b,b,b,-,-,-,-,-,m,r,r,r,r,r,m,e
b,b,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,r,-,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,r,-,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,r,r,r,r,-,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e
