-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e
-,-,r,g,r,r,r,-,-,-,-,-,-,g,y,g,g,g,-,-,e
-,-,r,g,r,g,r,-,-,-,-,-,-,g,y,g,y,g,-,-,e
-,-,r,g,r,g,r,-,-,-,-,-,-,g,y,g,y,g,-,-,e
-,-,r,g,g,g,r,-,-,-,-,-,-,g,y,y,y,g,-,-,e
-,-,r,r,r,r,r,-,-,-,-,-,-,g,g,g,g,g,-,-,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e
-,-,-,-,g,-,-,b,b,b,b,b,b,-,-,y,-,-,-,-,e
-,-,-,-,-,g,-,b,c,c,c,c,b,-,y,-,-,-,-,-,e
-,-,-,-,-,g,-,b,c,b,b,c,b,-,y,-,-,-,-,-,e
-,-,-,-,c,-,-,b,c,c,b,c,b,-,-,b,-,-,-,-,e
-,-,-,-,c,-,-,b,b,b,b,c,b,-,-,b,-,-,-,-,e
-,-,-,c,c,-,-,c,c,c,c,c,b,-,-,b,b,-,-,-,e
-,-,-,-,-,-,-,b,b,b,b,b,b,-,-,-,-,-,-,-,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e
