-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e
w,w,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,w,e
b,b,w,w,r,r,r,r,r,r,r,r,r,r,r,r,r,w,w,b,e
b,w,b,b,w,w,r,r,r,r,r,r,r,r,r,w,w,b,b,w,e
b,b,b,b,b,b,w,w,w,r,r,r,w,w,w,b,b,b,b,b,e
w,w,b,b,w,b,b,b,b,w,w,w,b,b,b,b,w,b,b,w,e
r,r,w,w,b,b,b,w,b,b,b,b,b,w,b,b,b,w,w,r,e
r,r,r,r,w,w,b,b,b,b,b,b,b,b,b,w,w,r,r,r,e
r,r,r,r,r,r,w,w,b,b,w,b,b,w,w,r,r,r,r,r,e
r,r,r,r,w,w,b,b,b,b,b,b,b,b,b,w,w,r,r,r,e
r,r,w,w,b,b,b,w,b,b,b,b,b,w,b,b,b,w,w,r,e
w,w,b,b,w,b,b,b,b,w,w,w,b,b,b,b,w,b,b,w,e
b,b,b,b,b,b,w,w,w,r,r,r,w,w,w,b,b,b,b,b,e
b,w,b,b,w,w,r,r,r,r,r,r,-,r,r,w,w,b,b,w,e
b,b,w,w,r,r,r,r,r,r,r,r,r,r,r,r,r,w,w,b,e
w,w,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,w,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e
