-,-,y,y,y,y,y,-,-,-,-,-,-,-,y,y,y,y,y,-,e
-,-,-,y,y,y,y,-,-,-,g,-,-,-,y,y,y,y,-,-,e
-,-,-,-,y,y,y,-,-,g,-,g,-,-,y,y,y,-,-,-,e
-,-,-,-,-,y,-,-,g,-,-,-,g,-,-,y,-,-,-,-,e
y,y,-,-,-,-,-,g,-,b,b,b,-,g,-,-,-,-,-,y,e
y,y,y,y,-,-,g,-,b,-,-,-,b,-,g,-,-,y,y,y,e
y,y,y,y,-,g,-,-,-,b,b,b,-,-,-,g,-,y,y,y,e
-,-,-,-,g,g,g,g,g,g,g,g,g,g,g,g,g,-,-,-,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e
-,y,y,m,m,c,c,c,-,-,m,-,-,r,r,r,b,b,g,g,e
-,y,-,m,-,c,-,-,-,m,b,m,-,-,-,r,-,b,-,g,e
-,-,-,-,-,-,-,-,m,b,b,b,m,-,-,-,-,-,-,-,e
-,-,b,-,-,-,-,-,-,m,b,m,-,-,-,-,-,-,b,-,e
-,-,b,b,-,-,-,-,-,m,b,m,-,-,-,-,-,b,b,-,e
-,-,b,-,b,-,-,-,m,b,b,b,m,-,-,-,b,-,b,-,e
-,-,b,b,b,b,-,-,m,m,m,m,m,-,-,b,b,b,b,-,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e
c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e
