-,-,b,-,-,r,-,-,-,-,m,-,-,y,y,y,-,g,g,g,e
-,b,-,b,-,r,-,-,-,m,-,m,-,y,-,-,-,g,-,-,e
-,b,-,b,-,r,-,-,-,m,-,m,-,y,y,-,-,g,g,g,e
-,b,-,b,-,r,-,-,-,m,-,m,-,y,-,-,-,-,-,g,e
-,-,b,-,-,r,r,r,-,-,m,-,-,y,-,-,-,g,g,g,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e
-,-,c,c,-,c,c,-,b,b,b,-,g,g,-,g,g,-,-,-,e
-,-,c,-,c,-,c,-,b,-,b,-,g,-,g,-,g,-,-,-,e
-,-,c,-,-,-,c,-,b,b,b,-,g,-,-,-,g,-,-,-,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e
-,-,-,-,-,-,-,m,-,-,-,r,-,-,-,-,-,-,-,-,e
-,-,-,-,-,-,-,m,-,-,r,-,-,-,-,-,-,-,-,-,e
-,-,-,-,-,-,-,m,-,-,-,r,-,-,-,-,-,-,-,-,e
-,-,-,-,-,-,-,m,-,-,r,-,-,-,-,-,-,-,-,-,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e
-,-,-,-,y,-,y,-,-,c,-,-,g,g,g,-,-,-,-,-,e
-,-,-,-,y,y,y,-,c,-,c,-,-,g,-,-,-,-,-,-,e
-,-,-,-,y,-,y,-,c,-,c,-,-,g,-,-,-,-,-,-,e
-,-,-,-,y,-,y,-,-,c,-,-,-,g,-,-,-,-,-,-,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e
